Date,Hour,Import Grid (EUR/kWh),Export Grid (EUR/kWh)
2023-05-25,23:00,0.09094,
2023-05-25,22:00,0.10047,
2023-05-25,21:00,0.1071299999999999,
2023-05-25,20:00,0.12171,
2023-05-25,19:00,0.10711,
2023-05-25,18:00,0.08492,
2023-05-25,17:00,0.0549,
2023-05-25,16:00,,0.0039
2023-05-25,15:00,,0.00013
2023-05-25,14:00,,0.00391
2023-05-25,13:00,0.013,
2023-05-25,12:00,0.03276,
2023-05-25,11:00,0.045,
2023-05-25,10:00,0.07085,
2023-05-25,09:00,0.08335,
2023-05-25,08:00,0.104,
2023-05-25,07:00,0.11949,
2023-05-25,06:00,0.1012,
2023-05-25,05:00,0.0800999999999999,
2023-05-25,04:00,0.0768,
2023-05-25,03:00,0.08727,
2023-05-25,02:00,0.082,
2023-05-25,01:00,0.08978,
2023-05-25,00:00,0.1021,
2023-05-24,23:00,0.10296,
2023-05-24,22:00,0.11464,
2023-05-24,21:00,0.1484,
2023-05-24,20:00,0.142,
2023-05-24,19:00,0.136,
2023-05-24,18:00,0.10997,
2023-05-24,17:00,0.07897,
2023-05-24,16:00,0.08,
2023-05-24,15:00,0.0676,
2023-05-24,14:00,0.07521,
2023-05-24,13:00,0.07108,
2023-05-24,12:00,0.08058,
2023-05-24,11:00,0.081,
2023-05-24,10:00,0.08592,
2023-05-24,09:00,0.0977,
2023-05-24,08:00,0.10966,
2023-05-24,07:00,0.12147,
2023-05-24,06:00,0.10558,
2023-05-24,05:00,0.08553,
2023-05-24,04:00,0.07644,
2023-05-24,03:00,0.0760199999999999,
2023-05-24,02:00,0.07513,
2023-05-24,01:00,0.07609,
2023-05-24,00:00,0.083,
2023-05-22,23:00,0.08448,
2023-05-22,22:00,0.10424,
2023-05-22,21:00,0.1128,
2023-05-22,20:00,0.119,
2023-05-22,19:00,0.10542,
2023-05-22,18:00,0.09,
2023-05-22,17:00,0.0787,
2023-05-22,16:00,0.0708,
2023-05-22,15:00,0.06825,
2023-05-22,14:00,0.0676,
2023-05-22,13:00,0.05597,
2023-05-22,12:00,0.05733,
2023-05-22,11:00,0.07424,
2023-05-22,10:00,0.08697,
2023-05-22,09:00,0.10231,
2023-05-22,08:00,0.11342,
2023-05-22,07:00,0.11831,
2023-05-22,06:00,0.11026,
2023-05-22,05:00,0.09788,
2023-05-22,04:00,0.081,
2023-05-22,03:00,0.0778,
2023-05-22,02:00,0.07831,
2023-05-22,01:00,0.08006,
2023-05-22,00:00,0.08829,
2023-05-21,23:00,0.0835,
2023-05-21,22:00,0.0899399999999999,
2023-05-21,21:00,0.091,
2023-05-21,20:00,0.09087,
2023-05-21,19:00,0.08549,
2023-05-21,18:00,0.04134,
2023-05-21,17:00,0.00222,
2023-05-21,16:00,,0.00041
2023-05-21,15:00,,0.02567
2023-05-21,14:00,,0.05832
2023-05-21,13:00,,0.05
2023-05-21,12:00,,0.076
2023-05-21,11:00,,0.0039
2023-05-21,10:00,,
2023-05-21,09:00,0.00214,
2023-05-21,08:00,0.02,
2023-05-21,07:00,0.02755,
2023-05-21,06:00,0.0307899999999999,
2023-05-21,05:00,0.02825,
2023-05-21,04:00,0.02996,
2023-05-21,03:00,0.02877,
2023-05-21,02:00,0.03388,
2023-05-21,01:00,0.04004,
2023-05-21,00:00,0.0522,
2023-05-20,23:00,0.07302,
2023-05-20,22:00,0.0785999999999999,
2023-05-20,21:00,0.08106,
2023-05-20,20:00,0.08769,
2023-05-20,19:00,0.07844,
2023-05-20,18:00,0.05368,
2023-05-20,17:00,0.02594,
2023-05-20,16:00,0.00132,
2023-05-20,15:00,,
2023-05-20,14:00,,0.00017
2023-05-20,13:00,,0.0094399999999999
2023-05-20,12:00,,0.01283
2023-05-20,11:00,,0.00391
2023-05-20,10:00,0.0019399999999999,
2023-05-20,09:00,0.04004,
2023-05-20,08:00,0.05976,
2023-05-20,07:00,0.06246,
2023-05-20,06:00,0.0620799999999999,
2023-05-20,05:00,0.0649,
2023-05-20,04:00,0.06465,
2023-05-20,03:00,0.06533,
2023-05-20,02:00,0.0680699999999999,
2023-05-20,01:00,0.074,
2023-05-20,00:00,0.0787399999999999,
2023-05-19,23:00,0.08578,
2023-05-19,22:00,0.09979,
2023-05-19,21:00,0.10422,
2023-05-19,20:00,0.11451,
2023-05-19,19:00,0.1142099999999999,
2023-05-19,18:00,0.10095,
2023-05-19,17:00,0.0853,
2023-05-19,16:00,0.07012,
2023-05-19,15:00,0.06362,
2023-05-19,14:00,0.05793,
2023-05-19,13:00,0.05779,
2023-05-19,12:00,0.05717,
2023-05-19,11:00,0.0592,
2023-05-19,10:00,0.06943,
2023-05-19,09:00,0.09329,
2023-05-19,08:00,0.106,
2023-05-19,07:00,0.1093199999999999,
2023-05-19,06:00,0.10775,
2023-05-19,05:00,0.09792,
2023-05-19,04:00,0.0832,
2023-05-19,03:00,0.07703,
2023-05-19,02:00,0.08023,
2023-05-19,01:00,0.0832,
2023-05-19,00:00,0.0930199999999999,
2023-05-18,23:00,0.09876,
2023-05-18,22:00,0.10961,
2023-05-18,21:00,0.11689,
2023-05-18,20:00,0.12581,
2023-05-18,19:00,0.11544,
2023-05-18,18:00,0.10266,
2023-05-18,17:00,0.08455,
2023-05-18,16:00,0.07156,
2023-05-18,15:00,0.04308,
2023-05-18,14:00,0.02941,
2023-05-18,13:00,0.04352,
2023-05-18,12:00,0.06287,
2023-05-18,11:00,0.06503,
2023-05-18,10:00,0.07264,
2023-05-18,09:00,0.08145,
2023-05-18,08:00,0.09048,
2023-05-18,07:00,0.0949,
2023-05-18,06:00,0.09838,
2023-05-18,05:00,0.0984,
2023-05-18,04:00,0.0943799999999999,
2023-05-18,03:00,0.08892,
2023-05-18,02:00,0.08924,
2023-05-18,01:00,0.0949,
2023-05-18,00:00,0.10059,
2023-05-17,23:00,0.10249,
2023-05-17,22:00,0.111,
2023-05-17,21:00,0.12815,
2023-05-17,20:00,0.13291,
2023-05-17,19:00,0.1099,
2023-05-17,18:00,0.10159,
2023-05-17,17:00,0.07909,
2023-05-17,16:00,0.03467,
2023-05-17,15:00,0.00601,
2023-05-17,14:00,,0.00391
2023-05-17,13:00,,
2023-05-17,12:00,,
2023-05-17,11:00,0.04,
2023-05-17,10:00,0.0723299999999999,
2023-05-17,09:00,0.08305,
2023-05-17,08:00,0.1055499999999999,
2023-05-17,07:00,0.11337,
2023-05-17,06:00,0.1051899999999999,
2023-05-17,05:00,0.07983,
2023-05-17,04:00,0.07252,
2023-05-17,03:00,0.07,
2023-05-17,02:00,0.07878,
2023-05-17,01:00,0.0836,
2023-05-17,00:00,0.0949,
2023-05-16,23:00,0.09723,
2023-05-16,22:00,0.113,
2023-05-16,21:00,0.12005,
2023-05-16,20:00,0.11764,
2023-05-16,19:00,0.10491,
2023-05-16,18:00,0.08719,
2023-05-16,17:00,0.07246,
2023-05-16,16:00,0.04278,
2023-05-16,15:00,0.01105,
2023-05-16,14:00,0.01494,
2023-05-16,13:00,0.03907,
2023-05-16,12:00,0.0406599999999999,
2023-05-16,11:00,0.07077,
2023-05-16,10:00,0.0819,
2023-05-16,09:00,0.0962,
